id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
312720,51,BlockedShot,0.901999969,0.365999985,0.263405949,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11670,Liverpool,Arsenal,3,1,24/08/19 17:30,Nicolas Pepe,Pass
316425,61,BlockedShot,0.806999969,0.755999985,0.020342374,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11682,Arsenal,Tottenham,2,2,01/09/19 16:30,Granit Xhaka,Pass
316428,67,MissedShots,0.909000015,0.57,0.036329247,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,Head,11682,Arsenal,Tottenham,2,2,01/09/19 16:30,Sead Kolasinac,Aerial
316429,70,Goal,0.916999969,0.512999992,0.385904878,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11682,Arsenal,Tottenham,2,2,01/09/19 16:30,Matteo Guendouzi,Chipped
316432,82,BlockedShot,0.89,0.527999992,0.126817718,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11682,Arsenal,Tottenham,2,2,01/09/19 16:30,Henrikh Mkhitaryan,Pass
318096,20,Goal,0.864000015,0.580999985,0.099871628,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11691,Watford,Arsenal,2,2,15/09/19 15:30,Sead Kolasinac,Pass
318097,31,Goal,0.941999969,0.512000008,0.627909005,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,LeftFoot,11691,Watford,Arsenal,2,2,15/09/19 15:30,Ainsley Maitland-Niles,Pass
318110,61,BlockedShot,0.746999969,0.654000015,0.022448596,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11691,Watford,Arsenal,2,2,15/09/19 15:30,Sead Kolasinac,Pass
321235,18,SavedShot,0.835,0.303999996,0.040025987,Pierre-Emerick Aubameyang,h,318,FromCorner,2019,LeftFoot,11702,Arsenal,Aston Villa,3,2,22/09/19 15:30,Ainsley Maitland-Niles,Pass
321251,70,MissedShots,0.974000015,0.412000008,0.394260675,Pierre-Emerick Aubameyang,h,318,FromCorner,2019,RightFoot,11702,Arsenal,Aston Villa,3,2,22/09/19 15:30,Sokratis,Rebound
321254,74,BlockedShot,0.879000015,0.415999985,0.083402656,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11702,Arsenal,Aston Villa,3,2,22/09/19 15:30,Nicolas Pepe,Pass
321260,83,Goal,0.799000015,0.559000015,0.118351944,Pierre-Emerick Aubameyang,h,318,DirectFreekick,2019,RightFoot,11702,Arsenal,Aston Villa,3,2,22/09/19 15:30,,Standard
323720,57,Goal,0.890999985,0.445999985,0.412865788,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,LeftFoot,11712,Manchester United,Arsenal,1,1,30/09/19 19:00,Bukayo Saka,Throughball
324730,5,MissedShots,0.810999985,0.726999969,0.023354009,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11722,Arsenal,Bournemouth,1,0,06/10/19 14:00,Bukayo Saka,Pass
324735,22,BlockedShot,0.881999969,0.640999985,0.051464882,Pierre-Emerick Aubameyang,h,318,FromCorner,2019,RightFoot,11722,Arsenal,Bournemouth,1,0,06/10/19 14:00,,None
324737,29,SavedShot,0.909000015,0.474000015,0.054643605,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,Head,11722,Arsenal,Bournemouth,1,0,06/10/19 14:00,Matteo Guendouzi,Foul
324750,93,ShotOnPost,0.954000015,0.46,0.647586524,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,LeftFoot,11722,Arsenal,Bournemouth,1,0,06/10/19 14:00,Calum Chambers,Pass
326709,33,BlockedShot,0.819000015,0.560999985,0.089397423,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11730,Sheffield United,Arsenal,1,0,21/10/19 20:00,Calum Chambers,Pass
327981,13,MissedShots,0.815999985,0.389000015,0.13267903,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11733,Arsenal,Crystal Palace,2,2,27/10/19 16:30,Matteo Guendouzi,Chipped
327998,87,BlockedShot,0.780999985,0.673000031,0.022793928,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11733,Arsenal,Crystal Palace,2,2,27/10/19 16:30,Nicolas Pepe,Pass
329139,17,SavedShot,0.879000015,0.710999985,0.033323217,Pierre-Emerick Aubameyang,h,318,SetPiece,2019,RightFoot,11743,Arsenal,Wolverhampton Wanderers,1,1,02/11/19 15:00,,None
329141,20,Goal,0.894000015,0.529000015,0.430693775,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,LeftFoot,11743,Arsenal,Wolverhampton Wanderers,1,1,02/11/19 15:00,Alexandre Lacazette,Pass
329143,25,MissedShots,0.813000031,0.497000008,0.054647155,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11743,Arsenal,Wolverhampton Wanderers,1,1,02/11/19 15:00,,Rebound
